Comment,Designator,Footprint,LCSC
"100nF","C1,C2","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"1N4148","D1","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"MountingHole_Pad","H1,H2,H3,H4,H5,H6","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"SYNC","J1","MCB1:SWITCHCRAFT_57PC5FS",""
"Conn_01x12","J10","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical",""
"MIDI_OUT","J2,J4,J5","MCB1:SWITCHCRAFT_57PC5FS",""
"MIDI_IN","J3","MCB1:SWITCHCRAFT_57PC5FS",""
"TAPE_IN","J6","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HFD3_Horizontal",""
"TAPE_OUT","J7","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HFD3_Horizontal",""
"METRONOME","J8","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HFD3_Horizontal",""
"DNF","R15","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"100","R3,R4,R6","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"220","R1,R2,R5,R7,R8,R12,R13","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"4.7K","R9,R10,R11","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"74LS05","U1","Package_DIP:DIP-14_W7.62mm",""
"H11L3","U3","Package_DIP:DIP-6_W7.62mm",""
